Parent,Agency No.,Agency Name,Contact,Operating Hours,Address,Latitude,Longitude,Agency_Name_Clean,Agency_Name_Standardized,,Filter_1,Filter_2,,
R1010,R1010FP,Alliance of AIDS Services,919-834-2437,"TWTH 10:00 am - 3pm by appointment, Fridays Walk-ins accepted 10:00 am - 12:00 pm","3109 Poplarwood Ct Ste 200, Raleigh, NC 27604",35.81678982,-78.60502977,alliance of aids services,alliance of aids services,,Food Distribution,Food Pantries,,
R1021,R1021FP,Baptist Grove,919-787-4528,2nd & 4th Saturday 10:00 am - 11:00 am,"7109 Leesville Rd, Raleigh, NC 27613",35.9287006,-78.7659083,baptist grove,baptist grove,,Food Distribution,Food Pantries,,
R1026,R1026FP,Bethlehem Baptist Church,919-847-5219,Tues & Thurs 11:00 am - 2:00 pm by appointment only,"7215 Six Forks Rd, Raleigh, NC 27615",35.8786101,-78.6460751,bethlehem baptist church,bethlehem baptist church,,Food Distribution,Food Pantries,,
R1041,R1041FP,Capital Pentacostal Church,919-772-5919,"T, TH 9-12",1308 US 70 W Garner 27529,35.6813,-78.5975,capital pentacostal church,capital pentacostal church,,Food Distribution,Food Pantries,,
R1048,R1048FP,Catholic Parish Outreach,919-873-0245, M/W/Th/F/Sa 9 am â€“ 12 pm,"2013 N Raleigh Blvd, Raleigh, NC 27604",35.8040531,-78.6079239,catholic parish outreach,catholic parish outreach,,Food Distribution,Food Pantries,,
R1061,R1061FP,Church Of God Of Prophecy,919-851-8507,Fridays 10:00 am -1:30 pm,"5005 Western Blvd, Raleigh, NC 27606",35.78649,-78.709364,church of god of prophecy,church of god of prophecy,,Food Distribution,Food Pantries,,
R1062,R1062FP,Church of God-Sermon del Monte,919-780-0179,"Tuesday 6 pm - 8 pm, 1st Friday 9am - 12pm, 2nd Sat 9am-12pm","6105 Fayetteville Rd, Raleigh, NC 27603",35.6936091,-78.6750674,church of god-sermon del monte,church of god-sermon del monte,,Food Distribution,Food Pantries,,
R1073,R1073FP,Community Helpers Service,919-271-0181,"M-T-F: 10:00 am - 12:00 pm,  W & F: 8:00 am - 12:00 PM","111-B N First Ave, Knightdale, NC 27545",35.78819275,-78.48103614,community helpers service,community helpers service,,Food Distribution,Food Pantries,,
R1074,R1074FP,Community of Hope Ministries,919-779-6679 ,"Tuesday & Thurs 11:00 -12:00 pm, 3rd Thursday 6pm -7pm",601 Saint Mary's Street Garner NC 27529,35.574345,-78.563623,community of hope ministries,community of hope ministries,,Food Distribution,Food Pantries,,
R1075,R1075FP,Comunidad Cristiana Hosanna,732-309-4982,"1st and 3rd Friday, 10 am ; Every Wednesday, 10 am- 12 pm","204 Shelden Dr, Raleigh, NC 27610",35.7417709,-78.6371808,comunidad cristiana hosanna,comunidad cristiana hosanna,,Food Distribution,Food Pantries,,
R1078,R1078FP,Covenant Life Church,919-615-1122,"Tuesday, Wednesday, and Thursday  4pm-5:45pm ","555 SW Maynard Rd., Cary, NC 27511",35.7715846,-78.7941314,covenant life church,covenant life church,,Food Distribution,Food Pantries,,
R1079,R1079FP,Crabtree Valley Baptist Church,919-781-5345,Wednesday 9am - 12pm,"4408 Lead Mine Rd, Raleigh, NC 27622",35.8404884,-78.6732864,crabtree valley baptist church,crabtree valley baptist church,,Food Distribution,Food Pantries,,
R1103,R1103FP,Dorcas Ministries,919-469-9861,Mon-Sati 9 am-3pm,"187 High House Rd, Cary, NC 27511",36.8272876,-78.5435585,dorcas ministries,dorcas ministries,,Food Distribution,Food Pantries,,
R1117,R1117FP,Emmanuel Hispanic Pentecostal,919-902-1994,3rd  Fridays 9am-12pm,"4119 Rock Quarry Rd, Raleigh, NC 27610",35.7440451,-78.5796559,emmanuel hispanic pentecostal,emmanuel hispanic pentecostal,,Food Distribution,Food Pantries,,
R1121,R1121FP,Faith In Action,919-803-4838,"Tuesday, Thursday 5:00 pm - 6:30 pm","100 Professional Ct Suite 104, Garner, NC 27529",35.60795938,-78.56906387,faith in action,faith in action,,Food Distribution,Food Pantries,,
R1122,R1122FP,Faith Missionary Baptist,919-779-2509,1st & 3rd Wed 10:30-12:00 pm,"908 Suffolk Blvd, Raleigh, NC 27603",35.7450327,-78.6591247,faith missionary baptist,faith missionary baptist,,Food Distribution,Food Pantries,,
R1125,R1125FP,Fathers Forever,919-779-9905,Mon - Fri 9:00 am - 5:00 pm,"3029 Stoneybrook Dr Ste 105, Raleigh, NC 27604",35.82098528,-78.58618527,fathers forever,fathers forever,,Food Distribution,Food Pantries,,
R1133,R1133FP,First Cosmopolitan MBC,919-691-7528,"2nd, 3rd & 4th Tue from, 1pm - 4pm","1515 Cross Link Rd, Raleigh, NC 27610",35.752959,-78.616132,first cosmopolitan mbc,first cosmopolitan mbc,,Food Distribution,Food Pantries,,
R1156,R1156FP,Fuquay-Varina Emergency,919-552-7720,"Tues 9-11:45, Thurs. 3:00pm-5:45pm","216 W Academy St, Fuquay-Varina, NC 27526",35.58450068,-78.80145926,fuquay-varina emergency,fuquay-varina emergency,,Food Distribution,Food Pantries,,
R1185,R1185FP,Hearts For Children Intl,919-614-2068,3rd Sat 10am-11am,"14705 New Light Rd, Wake Forest, NC 27587",36.0183902,-78.6554482,hearts for children intl,hearts for children intl,,Food Distribution,Food Pantries,,
R1193,R1193FP,Holly Springs Food Cupboard,919-577-2210,Monday 1:00pm-4:00pm and Thursday 2:00pm â€“ 5:00pm,"621 W Holly Springs Rd, Holly Springs, NC 27540",35.6555269,-78.8426276,holly springs food cupboard,holly springs food cupboard,,Food Distribution,Food Pantries,,
